,ID,hashtag,prediction
2112,2230559426.0,STARBUCKS,wig
2115,3091257914.0,STARBUCKS,cup
2118,4942690084.0,STARBUCKS,cup
2122,5796985312.0,STARBUCKS,bucket
2123,7971909804.0,STARBUCKS,web_site
2124,8576949299.0,STARBUCKS,web_site
2125,8601515522.0,STARBUCKS,packet
2130,1331890704.0,STARBUCKS,cup
2131,1407745595.0,STARBUCKS,eggnog
2135,1639994453.0,STARBUCKS,bucket
2143,23057819.0,STARBUCKS,coffee_mug
2144,24316427548.0,STARBUCKS,eggnog
2146,3185779340.0,STARBUCKS,bucket
2154,8510875741.0,STARBUCKS,coffee_mug
2162,1551017349.0,STARBUCKS,ice_cream
2164,208347382.0,STARBUCKS,bucket
2165,21525963092.0,STARBUCKS,Christmas_stocking
2167,244515480.0,STARBUCKS,eggnog
2172,3133981055.0,STARBUCKS,cup
2173,318766342.0,STARBUCKS,coffee_mug
2179,7206039034.0,STARBUCKS,ice_cream
2181,7687721015.0,STARBUCKS,eggnog
2183,8311456914.0,STARBUCKS,bucket
2196,1501610524.0,STARBUCKS,eggnog
2198,1554339603.0,STARBUCKS,web_site
2203,248130167.0,STARBUCKS,bucket
2211,4116963316.0,STARBUCKS,coffee_mug
2215,5643579118.0,STARBUCKS,Christmas_stocking
2216,5681417955.0,STARBUCKS,coffee_mug
2217,6673602.0,STARBUCKS,eggnog
2219,9902322830.0,STARBUCKS,web_site
2221,1100510056.0,STARBUCKS,cup
2222,1196357024.0,STARBUCKS,coffee_mug
2223,12100740786.0,STARBUCKS,eggnog
2227,18616603990.0,STARBUCKS,bucket
2232,270403350.0,STARBUCKS,espresso
2238,4520493891.0,STARBUCKS,Christmas_stocking
2239,5367338490.0,STARBUCKS,Christmas_stocking
2241,5478284356.0,STARBUCKS,wig
2249,8510875741.0,STARBUCKS,coffee_mug
2262,1987342813.0,STARBUCKS,Christmas_stocking
2264,2093846394.0,STARBUCKS,cup
